name,positive_ratio,total_reviews,price,owners_mid,average_playtime,median_playtime,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_Strategy,genre_Simulation,genre_RPG,genre_Early Access,genre_Free to Play,genre_Sports,cat_Single-player,cat_Steam Achievements,cat_Steam Trading Cards,cat_Steam Cloud,cat_Full controller support,cat_Partial Controller Support,cat_Multi-player,cat_Steam Leaderboards,kmeans_cluster,dbscan_cluster
Ruthless Safari,0.39285714285714285,112,2.89,10000.0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
Bunker Punks,0.832,250,10.99,10000.0,121,121,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,-1
Bad Dream: Coma,0.9230769230769231,520,5.99,35000.0,364,364,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
妖怪俱乐部 Demon Club,0.5652173913043478,23,5.19,10000.0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,-1
BattleSpace,0.34285714285714286,70,0.0,150000.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,-1
aMAZE Classic: Inverted,0.782608695652174,23,0.79,10000.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike Dash Excite!,0.5833333333333334,24,0.0,10000.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
Lydia,0.9054054054054054,370,3.99,35000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
From Dust,0.6438746438746439,2106,8.59,350000.0,358,399,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
A Girls Fabric Face,0.8481012658227848,79,1.99,10000.0,52,52,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
螢幕判官 Behind the Screen,0.8571428571428571,133,7.99,10000.0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,-1
Overfall,0.8171021377672208,421,10.99,35000.0,891,891,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,-1
DeathMetal,0.7,30,1.99,35000.0,264,264,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
Skynet Rising : Portal to the Past,0.4,25,10.99,10000.0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-1
Invasher,1.0,10,3.99,10000.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,-1
NotTheNameWeWanted,0.8767888307155323,2865,1.99,150000.0,17,17,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
Project Abyss,0.576271186440678,59,3.99,10000.0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,-1
JUMP FORCE,0.5604711289859236,3481,49.99,75000.0,338,369,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-1
Max Gentlemen,0.8731019522776573,922,0.0,150000.0,49,63,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,-1
Secret Ponchos,0.7185185185185186,1350,10.99,75000.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,-1
OK/NORMAL,0.7961165048543689,206,2.99,10000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-1
Moral King,0.9090909090909091,44,1.69,10000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
Airships: Conquer the Skies,0.9490124023886082,2177,11.39,75000.0,218,218,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,4,-1
The Original Strife: Veteran Edition,0.9215686274509803,357,6.99,75000.0,288,300,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,-1
The Secret of Tremendous Corporation,0.8134328358208955,268,0.0,150000.0,95242,190445,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,-1
CaesarIA,0.6297208538587848,1218,0.0,350000.0,13,26,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,4,-1
Royal Offense,0.8166666666666667,60,1.99,10000.0,412,412,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,2,-1
Heroes of Umbra,0.8,25,6.99,10000.0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,-1
Norpon,0.6538461538461539,26,15.49,10000.0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,4,-1
Hard Light Vector,0.7419354838709677,31,0.0,10000.0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,-1
Lawnmower Game 2: Drifter,0.4166666666666667,24,0.79,10000.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
Ultimate Rock Crawler,0.2692307692307692,26,0.79,10000.0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,4,-1
Catherine Classic,0.8515873015873016,1260,14.99,35000.0,355,355,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,-1
Cuboid Keeper,1.0,13,5.19,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,-1
Unpossible,0.8725490196078431,102,1.99,10000.0,28,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,-1
Troubles Land,0.6666666666666666,12,3.99,10000.0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-1
Blocky Snake,0.5294117647058824,34,0.0,10000.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,-1
NEONomicon,0.8367346938775511,49,0.79,10000.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2,-1
GROW: Wild West,0.8387096774193549,31,2.09,10000.0,47,47,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
King's Bounty: Dark Side,0.6923925027563396,907,9.99,150000.0,518,518,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,2,-1
SPACE ASTEROID SHOOTER 🌀 RETRO ACHIEVEMENT ODYSSEY,0.3076923076923077,13,1.59,10000.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
"Invisible, Inc.",0.929242819843342,3830,14.99,750000.0,325,405,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,-1
Zeno Clash,0.8476027397260274,2336,6.99,350000.0,307,307,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,-1
Breach of Contract Online,0.4117647058823529,34,2.09,10000.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,-1
void LINK,1.0,20,7.19,10000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,4,-1
Trials of The Illuminati: Assorted Jigsaws,0.6756756756756757,37,0.79,10000.0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
Dogs of War: Kill to Survive,0.13333333333333333,15,3.99,10000.0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,-1
Zomborg,0.6597938144329897,97,3.99,35000.0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
Mega Man Legacy Collection 2 / ロックマン クラシックス コレクション 2,0.8410138248847926,434,11.99,35000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2,-1
Peninsular War Battles,0.3888888888888889,18,6.99,10000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
Litil Divil,0.46744186046511627,430,2.09,350000.0,4,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
One Piece: Unlimited World Red - Deluxe Edition,0.6509433962264151,106,29.99,10000.0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,2,-1
Blind Bird,0.5238095238095238,21,0.79,10000.0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
Distortions,0.7209302325581395,86,15.49,10000.0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-1
Spirit of Maya,0.6341463414634146,41,1.69,35000.0,559,559,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1
Warp Glider,1.0,22,0.79,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,-1
Discouraged Workers,0.6161616161616161,99,10.99,10000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-1
Majesty Gold HD,0.9421965317919075,346,7.99,150000.0,72,72,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,-1
The Inner Darkness,0.7777777777777778,63,3.99,10000.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-1
Robowars,0.4490566037735849,265,9.99,150000.0,161,205,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,-1
Siege Saga,0.8,25,9.99,10000.0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2,-1
Handball Action Total,0.8461538461538461,13,8.99,10000.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,2,-1
Drawful 2,0.8865030674846626,326,6.99,150000.0,331,331,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,4,-1
Slashers: The Power Battle,0.9333333333333333,15,5.19,10000.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,-1
Beyond Gravity,0.8862612612612613,888,1.59,35000.0,105,174,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,-1
